Time [ns]	X (Q6.10)	X (Decimal)	Y (Q6.10)	Y (Decimal)
49465	 4046	3.951172	64994	-0.529297
49695	 4067	3.971680	65198	-0.330078
49925	 4078	3.982422	65408	-0.125000
50155	 4079	3.983398	   88	0.085938
50385	 4069	3.973633	  309	0.301758
50615	 4048	3.953125	  534	0.521484
50845	 4015	3.920898	  760	0.742188
51075	 3971	3.877930	  984	0.960938
51305	 3916	3.824219	 1203	1.174805
51535	 3850	3.759766	 1415	1.381836
51765	 3774	3.685547	 1617	1.579102
51995	 3688	3.601562	 1808	1.765625
52225	 3593	3.508789	 1989	1.942383
52455	 3489	3.407227	 2159	2.108398
52685	 3377	3.297852	 2320	2.265625
52915	 3257	3.180664	 2472	2.414062
53145	 3130	3.056641	 2617	2.555664
53375	 2996	2.925781	 2757	2.692383
53605	 2855	2.788086	 2892	2.824219
53835	 2707	2.643555	 3024	2.953125
54065	 2553	2.493164	 3153	3.079102
54295	 2392	2.335938	 3279	3.202148
54525	 2225	2.172852	 3403	3.323242
54755	 2052	2.003906	 3524	3.441406
54985	 1873	1.829102	 3642	3.556641
55215	 1688	1.648438	 3756	3.667969
55445	 1498	1.462891	 3865	3.774414
55675	 1302	1.271484	 3968	3.875000
55905	 1101	1.075195	 4063	3.967773
56135	  896	0.875000	 4149	4.051758
56365	  687	0.670898	 4225	4.125977
56595	  474	0.462891	 4291	4.190430
56825	  258	0.251953	 4345	4.243164
57055	   40	0.039062	 4386	4.283203
57285	65356	-0.175781	 4414	4.310547
57515	65135	-0.391602	 4429	4.325195
57745	64914	-0.607422	 4431	4.327148
57975	64693	-0.823242	 4419	4.315430
58205	64473	-1.038086	 4394	4.291016
58435	64254	-1.251953	 4357	4.254883
58665	64038	-1.462891	 4308	4.207031
58895	63824	-1.671875	 4247	4.147461
59125	63614	-1.876953	 4176	4.078125
59355	63407	-2.079102	 4096	4.000000
59585	63205	-2.276367	 4007	3.913086
59815	63007	-2.469727	 3910	3.818359
60045	62814	-2.658203	 3807	3.717773
60275	62627	-2.840820	 3698	3.611328
60505	62445	-3.018555	 3584	3.500000
60735	62269	-3.190430	 3465	3.383789
60965	62099	-3.356445	 3342	3.263672
61195	61935	-3.516602	 3215	3.139648
61425	61778	-3.669922	 3083	3.010742
61655	61627	-3.817383	 2945	2.875977
